app_id,job_id,user_id,applied_at,ai_int_start,ai_int_finish,recruiter_view,resp_time_hrs,sla_status,final_status
A-100058,J-1086,U-50058,2025-03-14 06:04:00,2025-03-14 06:26:00,2025-03-14 06:42:00,2025-03-14 14:55:12,8.22,Breached,Rejected
A-100059,J-1116,U-50059,2025-03-11 08:51:00,2025-03-11 09:17:00,2025-03-11 09:33:00,2025-03-11 10:11:24,0.64,Met,Lost to Competitor
A-100060,J-1114,U-50060,2025-02-23 16:07:00,2025-02-23 16:27:00,2025-02-23 16:44:00,2025-02-23 22:06:48,5.38,Met,Hired
A-100061,J-1125,U-50061,2025-02-28 20:01:00,2025-02-28 20:21:00,2025-02-28 20:39:00,2025-03-01 03:40:12,7.02,Breached,Rejected
A-100062,J-1089,U-50062,2025-02-05 19:40:00,2025-02-05 20:07:00,2025-02-05 20:26:00,2025-02-06 01:58:24,5.54,Met,Lost to Competitor
A-100063,J-1036,U-50063,2025-02-25 14:56:00,2025-02-25 15:11:00,2025-02-25 15:29:00,2025-02-25 19:56:00,4.45,Met,Hired
A-100064,J-1063,U-50064,2025-01-12 02:05:00,2025-01-12 02:33:00,2025-01-12 02:49:00,2025-01-12 08:36:24,5.79,Met,Rejected
A-100065,J-1125,U-50065,2025-02-06 19:19:00,2025-02-06 19:42:00,2025-02-06 19:58:00,2025-02-07 02:42:24,6.74,Breached,Rejected
A-100066,J-1050,U-50066,2025-02-24 17:49:00,2025-02-24 18:13:00,2025-02-24 18:32:00,2025-02-24 19:17:00,0.75,Met,Rejected
A-100067,J-1045,U-50067,2025-02-14 00:11:00,2025-02-14 00:34:00,2025-02-14 00:49:00,2025-02-14 02:40:00,1.85,Met,Hired
A-100068,J-1148,U-50068,2025-01-21 11:19:00,2025-01-21 11:48:00,,,,,Dropped During AI Interview
A-100069,J-1109,U-50069,2025-03-18 02:56:00,2025-03-18 03:06:00,2025-03-18 03:21:00,2025-03-18 10:15:00,6.9,Breached,Rejected
A-100070,J-1100,U-50070,2025-02-14 13:07:00,2025-02-14 13:33:00,2025-02-14 13:52:00,2025-02-14 20:42:24,6.84,Breached,Hired
A-100071,J-1132,U-50071,2025-02-02 09:20:00,2025-02-02 09:40:00,2025-02-02 09:56:00,2025-02-02 11:39:48,1.73,Met,Hired
A-100072,J-1078,U-50072,2025-01-03 14:58:00,2025-01-03 15:13:00,2025-01-03 15:32:00,2025-01-03 19:52:24,4.34,Breached,Rejected
A-100073,J-1145,U-50073,2025-03-30 11:05:00,2025-03-30 11:13:00,2025-03-30 11:32:00,2025-03-30 15:50:00,4.3,Breached,Hired
A-100074,J-1048,U-50074,2025-03-09 16:12:00,2025-03-09 16:28:00,2025-03-09 16:48:00,2025-03-10 01:02:24,8.24,Breached,Rejected
A-100075,J-1027,U-50075,2025-03-22 15:29:00,2025-03-22 15:58:00,2025-03-22 16:18:00,2025-03-23 01:34:48,9.28,Breached,Rejected
A-100076,J-1067,U-50076,2025-03-22 09:50:00,2025-03-22 09:56:00,2025-03-22 10:11:00,2025-03-22 13:38:00,3.45,Breached,Lost to Competitor
A-100077,J-1121,U-50077,2025-03-01 18:35:00,,,,,,Dropped During AI Interview
A-100078,J-1082,U-50078,2025-01-06 14:58:00,2025-01-06 15:23:00,2025-01-06 15:42:00,2025-01-06 20:43:12,5.02,Met,Hired
A-100079,J-1019,U-50079,2025-01-06 07:45:00,2025-01-06 08:04:00,2025-01-06 08:23:00,2025-01-06 10:23:36,2.01,Met,Hired
A-100080,J-1110,U-50080,2025-01-09 10:06:00,2025-01-09 10:23:00,2025-01-09 10:43:00,2025-01-09 19:18:24,8.59,Breached,Rejected
A-100081,J-1128,U-50081,2025-02-09 20:44:00,2025-02-09 20:53:00,2025-02-09 21:08:00,2025-02-10 00:34:24,3.44,Met,Hired
A-100082,J-1048,U-50082,2025-01-03 11:19:00,2025-01-03 11:30:00,2025-01-03 11:48:00,2025-01-03 14:07:12,2.32,Met,Rejected
A-100083,J-1146,U-50083,2025-03-26 10:56:00,2025-03-26 11:05:00,2025-03-26 11:21:00,2025-03-26 13:23:24,2.04,Met,Rejected
A-100084,J-1025,U-50084,2025-03-20 09:48:00,2025-03-20 10:07:00,2025-03-20 10:23:00,2025-03-20 13:49:24,3.44,Met,Rejected
A-100085,J-1053,U-50085,2025-02-18 16:33:00,2025-02-18 16:43:00,2025-02-18 17:02:00,2025-02-18 18:50:36,1.81,Met,Hired
A-100086,J-1022,U-50086,2025-02-06 02:48:00,2025-02-06 03:07:00,2025-02-06 03:23:00,2025-02-06 11:46:24,8.39,Breached,Hired
A-100087,J-1140,U-50087,2025-01-31 12:05:00,2025-01-31 12:10:00,2025-01-31 12:25:00,2025-01-31 20:53:12,8.47,Breached,Rejected
A-100088,J-1064,U-50088,2025-04-01 15:28:00,2025-04-01 15:35:00,2025-04-01 15:51:00,2025-04-02 00:16:48,8.43,Breached,Rejected
A-100089,J-1025,U-50089,2025-01-16 01:15:00,2025-01-16 01:45:00,2025-01-16 02:00:00,2025-01-16 03:33:00,1.55,Met,Rejected
A-100090,J-1071,U-50090,2025-02-24 00:39:00,2025-02-24 01:02:00,2025-02-24 01:22:00,2025-02-24 08:13:00,6.85,Met,Rejected
A-100091,J-1035,U-50091,2025-02-19 15:02:00,2025-02-19 15:18:00,2025-02-19 15:33:00,2025-02-19 19:26:24,3.89,Met,Hired
A-100092,J-1007,U-50092,2025-01-06 11:34:00,2025-01-06 11:59:00,2025-01-06 12:19:00,2025-01-06 17:13:36,4.91,Breached,Rejected
A-100093,J-1055,U-50093,2025-01-26 01:20:00,,,,,,Dropped During AI Interview
A-100094,J-1138,U-50094,2025-03-07 12:52:00,2025-03-07 13:05:00,2025-03-07 13:25:00,2025-03-07 15:44:12,2.32,Met,Hired
A-100095,J-1034,U-50095,2025-02-21 23:28:00,2025-02-21 23:45:00,2025-02-22 00:01:00,2025-02-22 05:13:36,5.21,Met,Lost to Competitor
A-100096,J-1146,U-50096,2025-03-11 09:20:00,2025-03-11 09:35:00,2025-03-11 09:52:00,2025-03-11 14:36:24,4.74,Breached,Rejected
A-100097,J-1136,U-50097,2025-02-05 20:50:00,,,,,,Dropped During AI Interview
A-100098,J-1122,U-50098,2025-01-10 21:40:00,2025-01-10 22:01:00,2025-01-10 22:21:00,2025-01-11 00:22:12,2.02,Met,Hired
A-100099,J-1108,U-50099,2025-02-19 18:02:00,2025-02-19 18:28:00,2025-02-19 18:45:00,2025-02-19 22:46:48,4.03,Met,Rejected
A-100100,J-1054,U-50100,2025-01-15 00:47:00,2025-01-15 01:08:00,2025-01-15 01:27:00,2025-01-15 03:04:12,1.62,Met,Lost to Competitor
A-100101,J-1121,U-50101,2025-01-16 04:54:00,2025-01-16 05:04:00,2025-01-16 05:22:00,2025-01-16 15:20:12,9.97,Breached,Rejected
A-100102,J-1085,U-50102,2025-04-01 22:40:00,2025-04-01 22:56:00,2025-04-01 23:11:00,2025-04-02 09:02:36,9.86,Breached,Rejected
A-100103,J-1001,U-50103,2025-03-12 04:39:00,2025-03-12 04:46:00,2025-03-12 05:06:00,2025-03-12 12:25:48,7.33,Breached,Rejected
A-100104,J-1111,U-50104,2025-03-01 21:33:00,2025-03-01 22:02:00,2025-03-01 22:21:00,2025-03-02 00:34:48,2.23,Met,Rejected
A-100105,J-1092,U-50105,2025-01-21 10:59:00,2025-01-21 11:15:00,,,,,Dropped During AI Interview
A-100106,J-1024,U-50106,2025-03-08 09:54:00,2025-03-08 10:05:00,2025-03-08 10:24:00,2025-03-08 13:30:36,3.11,Breached,Rejected
A-100107,J-1043,U-50107,2025-01-22 21:39:00,2025-01-22 22:03:00,2025-01-22 22:22:00,2025-01-22 23:15:24,0.89,Met,Rejected
A-100108,J-1048,U-50108,2025-03-21 20:01:00,2025-03-21 20:26:00,2025-03-21 20:46:00,2025-03-22 06:21:24,9.59,Breached,Rejected
A-100109,J-1008,U-50109,2025-02-23 15:29:00,2025-02-23 15:53:00,2025-02-23 16:13:00,2025-02-23 19:44:48,3.53,Met,Rejected
A-100110,J-1093,U-50110,2025-01-31 14:07:00,2025-01-31 14:19:00,2025-01-31 14:34:00,2025-01-31 17:49:36,3.26,Met,Hired
A-100111,J-1132,U-50111,2025-01-25 05:31:00,,,,,,Dropped During AI Interview
A-100112,J-1082,U-50112,2025-03-01 15:56:00,2025-03-01 16:01:00,2025-03-01 16:19:00,2025-03-01 21:37:00,5.3,Met,Rejected
A-100113,J-1028,U-50113,2025-02-06 17:00:00,2025-02-06 17:18:00,2025-02-06 17:35:00,2025-02-07 00:59:36,7.41,Breached,Rejected
A-100114,J-1034,U-50114,2025-03-12 09:04:00,2025-03-12 09:23:00,2025-03-12 09:40:00,2025-03-12 18:00:24,8.34,Breached,Rejected
A-100115,J-1106,U-50115,2025-01-19 06:38:00,2025-01-19 06:59:00,2025-01-19 07:14:00,2025-01-19 09:02:00,1.8,Met,Hired
A-100116,J-1142,U-50116,2025-02-11 19:20:00,2025-02-11 19:44:00,2025-02-11 20:01:00,2025-02-12 02:09:24,6.14,Breached,Rejected
A-100117,J-1010,U-50117,2025-02-12 21:07:00,,,,,,Dropped During AI Interview
A-100118,J-1098,U-50118,2025-03-16 09:50:00,2025-03-16 10:17:00,2025-03-16 10:36:00,2025-03-16 15:36:36,5.01,Met,Rejected
A-100119,J-1082,U-50119,2025-01-19 21:15:00,2025-01-19 21:42:00,2025-01-19 21:57:00,2025-01-20 02:38:24,4.69,Met,Lost to Competitor
A-100120,J-1143,U-50120,2025-04-01 04:33:00,2025-04-01 04:48:00,,,,,Dropped During AI Interview
A-100121,J-1067,U-50121,2025-03-03 16:24:00,2025-03-03 16:34:00,2025-03-03 16:53:00,2025-03-03 20:38:00,3.75,Breached,Hired
A-100122,J-1047,U-50122,2025-01-29 09:49:00,2025-01-29 10:00:00,2025-01-29 10:18:00,2025-01-29 13:48:36,3.51,Breached,Hired
A-100123,J-1117,U-50123,2025-02-14 04:18:00,2025-02-14 04:45:00,2025-02-14 05:03:00,2025-02-14 11:46:48,6.73,Met,Rejected
A-100124,J-1062,U-50124,2025-01-14 19:47:00,2025-01-14 19:59:00,2025-01-14 20:18:00,2025-01-14 22:56:24,2.64,Met,Hired
A-100125,J-1141,U-50125,2025-03-12 05:26:00,2025-03-12 05:46:00,2025-03-12 06:02:00,2025-03-12 13:42:48,7.68,Met,Rejected
A-100126,J-1108,U-50126,2025-01-23 13:56:00,2025-01-23 14:02:00,,,,,Dropped During AI Interview
A-100127,J-1119,U-50127,2025-02-20 15:11:00,,,,,,Dropped During AI Interview
A-100128,J-1035,U-50128,2025-02-07 01:00:00,2025-02-07 01:24:00,2025-02-07 01:41:00,2025-02-07 04:53:00,3.2,Met,Rejected
A-100129,J-1081,U-50129,2025-01-25 03:21:00,2025-01-25 03:40:00,2025-01-25 04:00:00,2025-01-25 06:16:12,2.27,Met,Lost to Competitor
A-100130,J-1082,U-50130,2025-03-07 10:05:00,2025-03-07 10:13:00,2025-03-07 10:29:00,2025-03-07 15:31:24,5.04,Met,Rejected
A-100131,J-1079,U-50131,2025-02-08 18:46:00,2025-02-08 18:59:00,2025-02-08 19:19:00,2025-02-08 22:03:24,2.74,Met,Hired
A-100132,J-1060,U-50132,2025-03-23 09:23:00,2025-03-23 09:35:00,,,,,Dropped During AI Interview
A-100133,J-1070,U-50133,2025-03-03 04:29:00,2025-03-03 04:53:00,2025-03-03 05:13:00,2025-03-03 10:56:12,5.72,Met,Lost to Competitor
A-100134,J-1068,U-50134,2025-03-09 22:23:00,2025-03-09 22:46:00,2025-03-09 23:05:00,2025-03-10 08:09:48,9.08,Breached,Lost to Competitor
A-100135,J-1086,U-50135,2025-03-29 06:45:00,2025-03-29 06:52:00,2025-03-29 07:10:00,2025-03-29 15:20:48,8.18,Breached,Rejected
A-100136,J-1081,U-50136,2025-01-03 12:16:00,2025-01-03 12:44:00,2025-01-03 12:59:00,2025-01-03 13:54:48,0.93,Met,Hired
A-100137,J-1069,U-50137,2025-02-06 13:11:00,2025-02-06 13:40:00,2025-02-06 14:00:00,2025-02-06 20:38:24,6.64,Breached,Rejected
A-100138,J-1050,U-50138,2025-03-25 11:07:00,2025-03-25 11:29:00,2025-03-25 11:45:00,2025-03-25 19:09:36,7.41,Breached,Rejected
A-100139,J-1129,U-50139,2025-03-10 12:52:00,2025-03-10 13:11:00,2025-03-10 13:28:00,2025-03-10 15:45:24,2.29,Met,Rejected
A-100140,J-1029,U-50140,2025-01-27 02:06:00,2025-01-27 02:25:00,2025-01-27 02:45:00,2025-01-27 11:32:24,8.79,Breached,Rejected
A-100141,J-1042,U-50141,2025-03-06 09:14:00,2025-03-06 09:42:00,2025-03-06 10:01:00,2025-03-06 16:11:48,6.18,Breached,Rejected
A-100142,J-1027,U-50142,2025-02-22 09:17:00,2025-02-22 09:40:00,2025-02-22 09:56:00,2025-02-22 16:23:00,6.45,Breached,Rejected
A-100143,J-1074,U-50143,2025-02-22 04:19:00,2025-02-22 04:48:00,2025-02-22 05:04:00,2025-02-22 13:38:12,8.57,Breached,Rejected
A-100144,J-1060,U-50144,2025-02-19 07:16:00,2025-02-19 07:41:00,2025-02-19 07:59:00,2025-02-19 16:32:00,8.55,Breached,Hired
A-100145,J-1082,U-50145,2025-01-10 06:51:00,2025-01-10 07:19:00,2025-01-10 07:35:00,2025-01-10 12:38:00,5.05,Met,Rejected
A-100146,J-1071,U-50146,2025-02-01 22:38:00,2025-02-01 22:55:00,2025-02-01 23:14:00,2025-02-02 02:47:36,3.56,Met,Hired
A-100147,J-1005,U-50147,2025-03-01 03:51:00,,,,,,Dropped During AI Interview
A-100148,J-1076,U-50148,2025-03-02 10:58:00,2025-03-02 11:13:00,2025-03-02 11:32:00,2025-03-02 20:14:36,8.71,Breached,Rejected
A-100149,J-1043,U-50149,2025-01-20 06:21:00,2025-01-20 06:44:00,2025-01-20 07:02:00,2025-01-20 12:45:48,5.73,Breached,Rejected
A-100150,J-1033,U-50150,2025-01-18 23:34:00,2025-01-18 23:56:00,,,,,Dropped During AI Interview
A-100151,J-1095,U-50151,2025-01-08 16:02:00,2025-01-08 16:09:00,,,,,Dropped During AI Interview
A-100152,J-1029,U-50152,2025-03-27 01:48:00,2025-03-27 01:57:00,2025-03-27 02:13:00,2025-03-27 03:22:00,1.15,Met,Hired
A-100153,J-1015,U-50153,2025-03-26 15:01:00,2025-03-26 15:23:00,2025-03-26 15:38:00,2025-03-26 21:09:48,5.53,Breached,Hired
A-100154,J-1129,U-50154,2025-01-13 16:09:00,2025-01-13 16:33:00,2025-01-13 16:50:00,2025-01-13 19:52:24,3.04,Breached,Hired
A-100155,J-1098,U-50155,2025-03-29 02:41:00,,,,,,Dropped During AI Interview
A-100156,J-1068,U-50156,2025-03-25 01:05:00,2025-03-25 01:22:00,2025-03-25 01:37:00,2025-03-25 08:10:00,6.55,Met,Rejected
A-100157,J-1111,U-50157,2025-01-30 06:57:00,2025-01-30 07:20:00,2025-01-30 07:35:00,2025-01-30 16:51:48,9.28,Breached,Rejected
A-100158,J-1001,U-50158,2025-01-27 18:09:00,2025-01-27 18:36:00,2025-01-27 18:51:00,2025-01-27 22:11:24,3.34,Breached,Rejected
A-100159,J-1048,U-50159,2025-03-06 23:22:00,2025-03-06 23:40:00,2025-03-06 23:55:00,2025-03-07 03:39:24,3.74,Met,Rejected
A-100160,J-1099,U-50160,2025-01-30 11:35:00,,,,,,Dropped During AI Interview
A-100161,J-1009,U-50161,2025-02-25 05:43:00,2025-02-25 06:00:00,2025-02-25 06:19:00,2025-02-25 09:37:36,3.31,Met,Hired
A-100162,J-1083,U-50162,2025-02-10 11:06:00,2025-02-10 11:20:00,2025-02-10 11:37:00,2025-02-10 13:05:12,1.47,Met,Hired
A-100163,J-1091,U-50163,2025-01-12 11:35:00,2025-01-12 11:59:00,2025-01-12 12:17:00,2025-01-12 12:54:12,0.62,Met,Hired
A-100164,J-1137,U-50164,2025-01-18 08:19:00,2025-01-18 08:28:00,2025-01-18 08:46:00,2025-01-18 11:53:12,3.12,Met,Hired
A-100165,J-1082,U-50165,2025-02-28 03:08:00,2025-02-28 03:25:00,2025-02-28 03:44:00,2025-02-28 07:50:36,4.11,Met,Rejected
A-100166,J-1018,U-50166,2025-03-03 10:11:00,,,,,,Dropped During AI Interview
A-100167,J-1094,U-50167,2025-02-10 09:47:00,2025-02-10 10:07:00,,,,,Dropped During AI Interview
A-100168,J-1147,U-50168,2025-02-01 10:24:00,2025-02-01 10:54:00,2025-02-01 11:09:00,2025-02-01 20:30:00,9.35,Breached,Lost to Competitor
A-100169,J-1023,U-50169,2025-02-26 09:53:00,2025-02-26 10:23:00,2025-02-26 10:43:00,2025-02-26 15:57:24,5.24,Breached,Rejected
A-100170,J-1121,U-50170,2025-03-18 15:37:00,2025-03-18 15:58:00,,,,,Dropped During AI Interview
A-100171,J-1145,U-50171,2025-03-30 13:34:00,2025-03-30 13:50:00,2025-03-30 14:09:00,2025-03-30 20:17:24,6.14,Breached,Rejected
A-100172,J-1149,U-50172,2025-02-12 13:06:00,2025-02-12 13:19:00,2025-02-12 13:39:00,2025-02-12 19:04:48,5.43,Breached,Rejected
A-100173,J-1006,U-50173,2025-02-14 00:30:00,2025-02-14 00:48:00,,,,,Dropped During AI Interview
A-100174,J-1027,U-50174,2025-01-11 03:53:00,,,,,,Dropped During AI Interview
A-100175,J-1050,U-50175,2025-01-19 11:19:00,2025-01-19 11:49:00,2025-01-19 12:07:00,2025-01-19 15:55:36,3.81,Breached,Hired
A-100176,J-1143,U-50176,2025-02-13 20:06:00,2025-02-13 20:16:00,,,,,Dropped During AI Interview
A-100177,J-1141,U-50177,2025-02-01 16:11:00,2025-02-01 16:26:00,2025-02-01 16:44:00,2025-02-01 19:26:00,2.7,Met,Hired
A-100178,J-1064,U-50178,2025-02-27 18:27:00,2025-02-27 18:54:00,2025-02-27 19:11:00,2025-02-28 02:50:00,7.65,Breached,Rejected
A-100179,J-1037,U-50179,2025-02-28 03:16:00,2025-02-28 03:36:00,2025-02-28 03:56:00,2025-02-28 07:24:48,3.48,Breached,Hired
A-100180,J-1021,U-50180,2025-03-28 22:51:00,2025-03-28 23:15:00,2025-03-28 23:35:00,2025-03-29 01:21:12,1.77,Met,Hired
A-100181,J-1104,U-50181,2025-02-23 19:08:00,2025-02-23 19:26:00,2025-02-23 19:46:00,2025-02-24 01:22:36,5.61,Met,Rejected
A-100182,J-1122,U-50182,2025-02-27 19:03:00,2025-02-27 19:08:00,2025-02-27 19:24:00,2025-02-28 03:38:24,8.24,Breached,Rejected
A-100183,J-1022,U-50183,2025-03-04 05:05:00,2025-03-04 05:35:00,2025-03-04 05:52:00,2025-03-04 06:40:36,0.81,Met,Hired
