app_id,ai_goodness_score,match_reason,human_rating,is_false_positive
A-100232,95,Tech Stack Match,10,0
A-100233,56,Tech Stack Match,3,0
A-100234,93,Experience Match,7,0
A-100235,43,Communication,6,0
A-100236,100,Communication,8,0
A-100238,40,SQL Skills,2,0
A-100239,99,SQL Skills,10,0
A-100240,98,Tech Stack Match,9,0
A-100241,78,Experience Match,7,0
A-100244,41,Communication,6,0
A-100245,94,Experience Match,7,0
A-100246,81,Experience Match,9,0
A-100247,56,Experience Match,4,0
A-100249,43,Tech Stack Match,4,0
A-100250,87,Tech Stack Match,6,0
A-100251,37,Tech Stack Match,5,0
A-100252,48,Communication,4,0
A-100253,75,Communication,7,0
A-100254,78,Tech Stack Match,5,0
A-100255,97,Communication,8,0
A-100257,90,Communication,8,0
A-100258,97,Experience Match,8,0
A-100259,79,Experience Match,9,0
A-100260,65,Tech Stack Match,5,0
A-100261,42,SQL Skills,4,0
A-100262,78,Experience Match,5,0
A-100263,86,Tech Stack Match,6,0
A-100265,32,Tech Stack Match,5,0
A-100266,95,SQL Skills,8,0
A-100267,74,Experience Match,8,0
A-100268,98,Communication,7,0
A-100269,89,SQL Skills,9,0
A-100270,57,SQL Skills,7,0
A-100271,51,Tech Stack Match,4,0
A-100272,82,Tech Stack Match,10,0
A-100273,50,Experience Match,7,0
A-100275,53,SQL Skills,4,0
A-100276,93,Communication,10,0
A-100277,68,Tech Stack Match,7,0
A-100278,66,Communication,5,0
A-100279,40,Communication,5,0
A-100280,90,Experience Match,9,0
A-100281,65,Experience Match,7,0
A-100282,34,Communication,3,0
A-100283,57,SQL Skills,5,0
A-100285,61,Communication,8,0
A-100286,83,Experience Match,7,0
A-100287,65,Experience Match,4,0
A-100288,77,Communication,7,0
A-100290,80,Experience Match,10,0
A-100291,32,SQL Skills,2,0
A-100292,99,SQL Skills,9,0
A-100293,82,Tech Stack Match,6,0
A-100294,81,SQL Skills,8,0
A-100295,87,SQL Skills,8,0
A-100296,76,Communication,9,0
A-100297,91,Experience Match,7,0
A-100298,72,Experience Match,7,0
A-100299,38,Experience Match,2,0
A-100300,74,SQL Skills,5,0
A-100301,67,Experience Match,5,0
A-100302,66,Communication,8,0
A-100304,46,Tech Stack Match,4,0
A-100305,68,Tech Stack Match,7,0
A-100306,61,SQL Skills,8,0
A-100307,89,SQL Skills,8,0
A-100308,55,Communication,3,0
A-100311,37,Communication,5,0
A-100312,72,SQL Skills,5,0
A-100313,51,SQL Skills,3,0
A-100314,71,Tech Stack Match,8,0
A-100315,52,Tech Stack Match,7,0
A-100316,94,Experience Match,10,0
A-100317,87,Tech Stack Match,10,0
A-100318,84,Experience Match,9,0
A-100319,93,Communication,9,0
A-100322,69,Communication,5,0
A-100324,67,Experience Match,8,0
A-100325,97,Experience Match,9,0
A-100326,60,SQL Skills,8,0
A-100327,61,Communication,6,0
A-100328,78,Communication,6,0
A-100329,69,SQL Skills,8,0
A-100330,62,SQL Skills,5,0
A-100332,50,SQL Skills,6,0
A-100333,81,Experience Match,9,0
A-100334,43,Communication,3,0
A-100335,47,Tech Stack Match,2,0
A-100336,61,Experience Match,6,0
A-100338,52,Communication,6,0
A-100340,78,Experience Match,8,0
A-100341,92,Tech Stack Match,7,0
A-100342,90,Tech Stack Match,9,0
A-100343,67,Communication,5,0
A-100344,81,Tech Stack Match,6,0
A-100345,96,Tech Stack Match,10,0
A-100346,99,Tech Stack Match,10,0
A-100347,90,Communication,7,0
A-100348,91,Experience Match,7,0
A-100349,79,Experience Match,5,0
A-100350,33,Tech Stack Match,2,0
A-100352,55,SQL Skills,7,0
A-100353,50,SQL Skills,7,0
A-100355,80,SQL Skills,7,0
A-100356,62,SQL Skills,6,0
A-100357,49,Communication,6,0
A-100358,49,Communication,6,0
A-100359,74,SQL Skills,7,0
A-100360,68,Experience Match,8,0
A-100361,51,Experience Match,6,0
A-100362,53,Tech Stack Match,7,0
A-100363,68,SQL Skills,7,0
A-100364,40,Tech Stack Match,5,0
A-100365,62,SQL Skills,6,0
A-100367,74,Communication,6,0
A-100368,94,SQL Skills,10,0
A-100369,43,Communication,2,0
A-100370,54,Communication,4,0
A-100372,88,Tech Stack Match,6,0
A-100373,49,Communication,6,0
A-100374,81,SQL Skills,10,0
A-100375,61,SQL Skills,4,0
A-100377,56,Tech Stack Match,5,0
A-100378,75,Experience Match,9,0
A-100380,46,Experience Match,2,0
A-100381,77,Communication,8,0
A-100382,47,Communication,3,0
A-100383,94,Experience Match,9,0
A-100384,43,Communication,3,0
A-100385,80,Communication,8,0
A-100387,74,Communication,7,0
A-100388,57,Communication,3,0
A-100389,49,SQL Skills,6,0
A-100390,62,Communication,4,0
A-100391,44,SQL Skills,5,0
A-100392,36,Experience Match,1,0
A-100393,61,Communication,7,0
A-100394,74,Tech Stack Match,7,0
A-100396,56,Tech Stack Match,6,0
A-100397,94,SQL Skills,9,0
A-100398,59,Communication,7,0
A-100399,83,SQL Skills,7,0
A-100400,49,Tech Stack Match,4,0
A-100401,85,Communication,8,0
A-100402,60,SQL Skills,5,0
A-100403,73,SQL Skills,9,0
A-100404,47,Tech Stack Match,5,0
A-100405,81,Experience Match,6,0
A-100406,80,Communication,9,0
A-100408,91,Experience Match,10,0
A-100409,86,SQL Skills,6,0
A-100410,90,Experience Match,9,0
A-100411,87,Experience Match,8,0
A-100412,99,SQL Skills,7,0
A-100413,89,SQL Skills,7,0
A-100414,98,Experience Match,10,0
A-100415,73,Experience Match,6,0
A-100416,79,Communication,8,0
A-100417,68,Communication,5,0
A-100418,96,SQL Skills,10,0
A-100419,48,Communication,2,0
A-100420,39,Experience Match,4,0
A-100421,47,SQL Skills,4,0
A-100422,87,Tech Stack Match,7,0
A-100423,98,Tech Stack Match,10,0
A-100424,55,Tech Stack Match,7,0
A-100425,45,Communication,2,0
A-100426,90,Experience Match,7,0
A-100427,55,Experience Match,7,0
A-100428,100,SQL Skills,10,0
A-100429,41,Communication,4,0
A-100430,85,Communication,9,0
A-100431,79,Tech Stack Match,8,0
A-100432,53,Experience Match,6,0
A-100433,88,Experience Match,7,0
A-100434,96,SQL Skills,7,0
A-100437,75,Tech Stack Match,5,0
A-100438,40,Experience Match,4,0
A-100439,56,Experience Match,6,0
A-100440,91,Tech Stack Match,9,0
A-100441,87,SQL Skills,9,0
A-100444,31,Experience Match,2,0
A-100445,94,Communication,10,0
A-100446,71,Tech Stack Match,5,0
A-100447,52,SQL Skills,6,0
A-100448,35,SQL Skills,1,0
A-100449,53,Communication,5,0
A-100450,93,Tech Stack Match,7,0
A-100451,83,Tech Stack Match,8,0
A-100452,63,SQL Skills,5,0
A-100454,55,SQL Skills,3,0
A-100455,75,SQL Skills,5,0
A-100456,80,Communication,9,0
A-100457,98,Experience Match,8,0
A-100458,83,Communication,8,0
A-100459,88,Communication,9,0
A-100462,92,Tech Stack Match,7,0
A-100464,98,Tech Stack Match,9,0
A-100465,69,SQL Skills,5,0
A-100467,67,Communication,5,0
A-100468,61,Experience Match,7,0
A-100469,79,Communication,5,0
A-100470,54,Experience Match,3,0
A-100472,60,Tech Stack Match,6,0
A-100473,75,SQL Skills,7,0
A-100474,93,Communication,9,0
A-100475,67,SQL Skills,4,0
A-100477,74,Tech Stack Match,5,0
A-100478,51,Communication,7,0
A-100479,69,Experience Match,4,0
A-100480,52,Tech Stack Match,6,0
A-100481,74,Experience Match,9,0
A-100482,35,Tech Stack Match,3,0
A-100483,93,Tech Stack Match,9,0
A-100484,68,Tech Stack Match,6,0
A-100485,96,Experience Match,9,0
A-100487,40,Experience Match,4,0
A-100488,40,SQL Skills,3,0
A-100489,87,SQL Skills,6,0
A-100490,59,Communication,3,0
A-100491,50,Communication,3,0
A-100492,33,Communication,2,0
A-100493,69,SQL Skills,4,0
A-100496,75,Communication,9,0
A-100498,80,Experience Match,9,0
A-100500,62,SQL Skills,4,0
A-100501,96,Tech Stack Match,10,0
A-100502,82,SQL Skills,9,0
A-100504,59,Tech Stack Match,3,0
A-100505,43,Tech Stack Match,2,0
A-100506,95,Tech Stack Match,10,0
A-100507,86,Tech Stack Match,10,0
A-100508,68,Tech Stack Match,6,0
A-100510,92,Experience Match,10,0
A-100511,60,SQL Skills,6,0
A-100512,56,Communication,3,0
A-100513,73,Tech Stack Match,9,0
A-100514,80,Tech Stack Match,10,0
A-100515,49,SQL Skills,5,0
A-100516,36,Experience Match,3,0
A-100517,47,SQL Skills,5,0
A-100518,31,Experience Match,1,0
A-100519,53,Experience Match,3,0
A-100520,94,Experience Match,8,0
A-100521,37,Experience Match,2,0
A-100522,77,SQL Skills,7,0
A-100523,72,Tech Stack Match,6,0
A-100524,63,Communication,4,0
A-100525,55,SQL Skills,4,0
A-100526,89,Experience Match,7,0
A-100527,30,Communication,5,0
A-100528,92,Tech Stack Match,10,0
A-100529,83,Communication,8,0
A-100530,94,Communication,10,0
A-100531,87,Tech Stack Match,7,0
A-100533,67,Communication,6,0
A-100534,31,Experience Match,4,0
A-100535,65,SQL Skills,7,0
A-100536,41,Tech Stack Match,6,0
A-100537,48,Communication,6,0
A-100538,50,Tech Stack Match,3,0
A-100540,49,Communication,4,0
A-100541,97,SQL Skills,10,0
A-100542,79,Experience Match,5,0
A-100543,81,SQL Skills,9,0
A-100546,59,SQL Skills,5,0
A-100547,61,SQL Skills,8,0
A-100548,68,Experience Match,7,0
A-100550,82,Experience Match,10,0
A-100551,76,Communication,6,0
A-100552,44,SQL Skills,5,0
A-100553,65,Experience Match,8,0
A-100554,71,SQL Skills,7,0
A-100555,75,Communication,8,0
A-100557,85,Tech Stack Match,6,0
A-100558,31,Experience Match,3,0
A-100559,73,Experience Match,7,0
A-100560,53,SQL Skills,7,0
A-100561,66,Communication,4,0
A-100562,77,SQL Skills,6,0
A-100563,77,Tech Stack Match,8,0
A-100565,51,SQL Skills,4,0
A-100567,49,Tech Stack Match,5,0
A-100568,97,Tech Stack Match,9,0
A-100569,50,Experience Match,4,0
A-100570,59,Experience Match,6,0
A-100571,62,Experience Match,4,0
A-100572,43,Communication,5,0
A-100573,63,Tech Stack Match,7,0
A-100574,65,Experience Match,8,0
A-100575,79,Communication,5,0
A-100576,91,Tech Stack Match,7,0
A-100577,66,Communication,7,0
A-100578,32,Experience Match,1,0
A-100579,56,SQL Skills,3,0
A-100581,85,SQL Skills,9,0
A-100583,93,Experience Match,7,0
A-100584,57,Tech Stack Match,7,0
A-100585,67,Communication,5,0
A-100586,87,Tech Stack Match,6,0
A-100590,53,Tech Stack Match,5,0
A-100592,76,SQL Skills,6,0
A-100593,52,SQL Skills,6,0
A-100594,76,Experience Match,5,0
A-100595,45,Communication,6,0
A-100596,94,Communication,10,0
A-100598,47,Tech Stack Match,2,0
A-100599,61,SQL Skills,5,0
A-100600,32,Communication,2,0
A-100601,78,SQL Skills,7,0
A-100602,32,Tech Stack Match,1,0
A-100603,53,Tech Stack Match,5,0
A-100604,98,Tech Stack Match,7,0
A-100605,88,Tech Stack Match,9,0
A-100606,68,Tech Stack Match,5,0
A-100607,87,Communication,7,0
A-100608,88,Communication,8,0
A-100609,89,Tech Stack Match,8,0
A-100610,64,SQL Skills,6,0
A-100611,94,SQL Skills,9,0
A-100612,35,Tech Stack Match,5,0
A-100613,37,Communication,5,0
A-100614,56,SQL Skills,7,0
A-100615,66,Tech Stack Match,7,0
A-100616,77,Communication,8,0
A-100617,84,Tech Stack Match,9,0
A-100618,39,SQL Skills,5,0
A-100619,58,Experience Match,4,0
A-100621,57,Tech Stack Match,7,0
A-100622,61,Experience Match,5,0
A-100623,99,Communication,7,0
A-100624,82,SQL Skills,9,0
A-100625,100,Experience Match,10,0
A-100626,97,Tech Stack Match,10,0
A-100627,48,Communication,6,0
A-100628,40,Tech Stack Match,5,0
A-100629,82,Tech Stack Match,7,0
A-100630,67,Communication,4,0
A-100631,84,Tech Stack Match,6,0
A-100632,97,Experience Match,8,0
A-100633,93,SQL Skills,7,0
A-100634,84,Communication,6,0
A-100635,64,Tech Stack Match,4,0
A-100636,57,Communication,4,0
A-100637,82,Experience Match,6,0
A-100638,95,Tech Stack Match,8,0
A-100640,60,Tech Stack Match,6,0
A-100641,57,Experience Match,3,0
A-100642,82,Tech Stack Match,10,0
A-100643,70,SQL Skills,6,0
A-100644,32,Communication,1,0
A-100645,79,Communication,6,0
A-100646,82,Tech Stack Match,10,0
A-100647,78,Tech Stack Match,7,0
A-100648,86,Tech Stack Match,9,0
A-100649,43,Tech Stack Match,4,0
A-100650,81,Communication,9,0
A-100651,68,Tech Stack Match,5,0
A-100653,54,Experience Match,6,0
A-100654,83,Communication,7,0
A-100656,33,SQL Skills,2,0
A-100657,51,SQL Skills,3,0
A-100658,89,Experience Match,8,0
A-100659,91,Experience Match,7,0
A-100660,60,Experience Match,4,0
A-100661,62,SQL Skills,5,0
A-100663,92,Tech Stack Match,9,0
A-100665,69,Tech Stack Match,7,0
A-100666,48,Experience Match,2,0
A-100667,61,Communication,8,0
A-100668,98,Experience Match,7,0
A-100669,34,Communication,2,0
A-100671,65,SQL Skills,7,0
A-100672,59,Communication,7,0
A-100673,88,Communication,9,0
A-100676,49,SQL Skills,5,0
A-100677,98,Tech Stack Match,10,0
A-100678,88,Communication,10,0
A-100679,36,Communication,1,0
A-100680,38,SQL Skills,1,0
A-100681,99,Experience Match,10,0
A-100682,36,Communication,5,0
A-100683,32,Communication,4,0
A-100685,93,Communication,10,0
A-100686,78,Tech Stack Match,5,0
A-100687,66,Experience Match,6,0
A-100690,54,SQL Skills,5,0
A-100691,84,Communication,9,0
A-100692,52,Experience Match,3,0
A-100693,62,Tech Stack Match,4,0
A-100694,98,Communication,9,0
A-100695,73,Communication,7,0
A-100697,98,Communication,9,0
A-100698,50,Communication,5,0
A-100699,84,SQL Skills,9,0
A-100700,45,SQL Skills,4,0
A-100701,97,SQL Skills,7,0
A-100702,70,SQL Skills,8,0
A-100703,56,Communication,3,0
A-100704,93,Tech Stack Match,7,0
A-100705,79,Tech Stack Match,7,0
A-100706,78,Tech Stack Match,7,0
A-100707,68,Experience Match,5,0
A-100708,94,Experience Match,10,0
A-100710,61,Tech Stack Match,4,0
A-100711,93,Tech Stack Match,8,0
A-100712,97,Communication,8,0
A-100713,59,Communication,4,0
A-100714,57,Experience Match,3,0
A-100715,60,Experience Match,4,0
A-100716,58,Communication,6,0
A-100717,97,Tech Stack Match,8,0
A-100718,93,Tech Stack Match,7,0
A-100719,89,SQL Skills,6,0
A-100720,40,Communication,2,0
A-100721,91,SQL Skills,7,0
A-100722,37,SQL Skills,4,0
A-100723,92,Experience Match,10,0
A-100724,41,SQL Skills,2,0
A-100725,78,Communication,6,0
A-100726,90,Tech Stack Match,10,0
A-100727,94,Experience Match,7,0
A-100729,36,Communication,1,0
A-100730,49,Communication,2,0
A-100731,86,Tech Stack Match,8,0
A-100732,42,Experience Match,5,0
A-100734,32,Tech Stack Match,4,0
A-100735,52,SQL Skills,5,0
A-100736,76,SQL Skills,9,0
A-100738,43,SQL Skills,6,0
A-100739,37,Communication,2,0
A-100741,56,Tech Stack Match,4,0
A-100742,79,Experience Match,7,0
A-100743,33,SQL Skills,4,0
A-100744,61,Tech Stack Match,8,0
A-100745,93,SQL Skills,10,0
A-100746,52,Tech Stack Match,6,0
A-100748,56,Tech Stack Match,7,0
A-100749,97,Experience Match,7,0
A-100750,71,Communication,7,0
A-100751,50,Communication,7,0
A-100752,44,Experience Match,5,0
A-100753,98,Tech Stack Match,8,0
A-100754,100,SQL Skills,10,0
A-100756,55,Tech Stack Match,7,0
A-100757,53,Tech Stack Match,7,0
A-100758,56,Tech Stack Match,7,0
A-100759,61,Experience Match,6,0
A-100760,99,Tech Stack Match,10,0
A-100761,90,Communication,9,0
A-100762,87,SQL Skills,6,0
A-100763,34,Communication,3,0
A-100764,97,SQL Skills,8,0
A-100766,53,SQL Skills,6,0
A-100767,30,SQL Skills,5,0
A-100768,69,Communication,8,0
A-100769,93,Experience Match,7,0
A-100770,55,Tech Stack Match,5,0
A-100771,38,SQL Skills,5,0
A-100772,86,Experience Match,10,0
A-100773,96,SQL Skills,9,0
A-100774,56,SQL Skills,7,0
A-100775,85,Tech Stack Match,6,0
A-100776,100,SQL Skills,10,0
A-100777,78,Experience Match,9,0
A-100780,52,SQL Skills,5,0
A-100781,35,Tech Stack Match,5,0
A-100782,86,Experience Match,9,0
A-100783,94,SQL Skills,10,0
A-100784,60,SQL Skills,5,0
A-100785,63,SQL Skills,8,0
A-100786,99,SQL Skills,10,0
A-100787,92,Tech Stack Match,8,0
A-100788,31,Experience Match,5,0
A-100789,77,Experience Match,6,0
A-100790,79,Communication,5,0
A-100791,55,SQL Skills,6,0
A-100792,74,Tech Stack Match,7,0
A-100794,89,SQL Skills,10,0
A-100795,97,SQL Skills,10,0
A-100797,56,SQL Skills,5,0
A-100800,59,Tech Stack Match,3,0
A-100801,71,Communication,7,0
A-100802,37,Tech Stack Match,4,0
A-100803,88,Communication,9,0
A-100804,73,Experience Match,7,0
A-100805,69,Experience Match,8,0
A-100806,98,SQL Skills,9,0
A-100807,51,Tech Stack Match,7,0
A-100808,98,SQL Skills,8,0
A-100809,45,Experience Match,3,0
A-100810,75,Experience Match,8,0
A-100812,93,SQL Skills,10,0
A-100813,93,Experience Match,8,0
A-100814,90,Experience Match,8,0
A-100815,58,Experience Match,7,0
A-100816,65,SQL Skills,5,0
A-100818,80,Communication,10,0
A-100819,68,Communication,4,0
A-100820,56,Experience Match,6,0
A-100821,52,SQL Skills,5,0
A-100822,32,Experience Match,2,0
A-100824,90,Communication,9,0
A-100825,68,Experience Match,4,0
A-100826,51,Tech Stack Match,5,0
A-100827,69,Tech Stack Match,4,0
A-100828,92,SQL Skills,10,0
A-100829,91,Communication,10,0
A-100830,38,Tech Stack Match,2,0
A-100831,46,SQL Skills,4,0
A-100832,77,Communication,7,0
A-100833,78,SQL Skills,5,0
A-100834,97,SQL Skills,9,0
A-100835,31,Tech Stack Match,5,0
A-100837,50,SQL Skills,5,0
A-100838,53,Experience Match,5,0
A-100839,48,Experience Match,4,0
A-100840,93,Communication,7,0
A-100841,50,Communication,3,0
A-100842,97,Experience Match,9,0
A-100844,60,Experience Match,8,0
A-100845,46,Tech Stack Match,6,0
A-100846,36,Communication,3,0
A-100847,94,SQL Skills,10,0
A-100848,57,Experience Match,4,0
A-100849,94,Experience Match,10,0
A-100850,46,Tech Stack Match,5,0
A-100851,96,SQL Skills,7,0
A-100852,93,Experience Match,7,0
A-100853,77,Tech Stack Match,9,0
A-100856,37,Experience Match,3,0
A-100857,31,Communication,5,0
A-100858,59,Tech Stack Match,3,0
A-100860,64,Experience Match,4,0
A-100862,77,Communication,6,0
A-100863,86,Communication,9,0
A-100864,39,Tech Stack Match,3,0
A-100865,83,SQL Skills,9,0
A-100866,98,Communication,9,0
A-100867,78,Experience Match,6,0
A-100868,92,SQL Skills,10,0
A-100869,36,Tech Stack Match,5,0
A-100870,91,Tech Stack Match,10,0
A-100871,34,SQL Skills,3,0
A-100872,53,Experience Match,4,0
A-100873,85,Tech Stack Match,7,0
A-100874,81,SQL Skills,10,0
A-100875,73,Communication,8,0
A-100876,63,SQL Skills,5,0
A-100877,85,SQL Skills,9,0
A-100878,31,Communication,4,0
A-100879,66,Communication,6,0
A-100880,40,Communication,3,0
A-100881,56,Tech Stack Match,7,0
A-100882,90,Experience Match,10,0
A-100883,93,SQL Skills,10,0
A-100884,100,Communication,9,0
A-100885,64,Experience Match,6,0
A-100886,32,Communication,2,0
A-100887,92,Tech Stack Match,9,0
A-100888,64,Experience Match,4,0
A-100889,95,Experience Match,9,0
A-100891,49,Communication,3,0
A-100892,56,Experience Match,5,0
A-100895,51,Tech Stack Match,7,0
A-100896,100,Communication,8,0
A-100897,59,Experience Match,4,0
A-100898,76,Experience Match,8,0
A-100899,93,Communication,10,0
A-100900,52,Communication,5,0
A-100902,60,Communication,4,0
A-100903,70,Tech Stack Match,9,0
A-100904,77,Tech Stack Match,7,0
A-100905,54,SQL Skills,3,0
A-100906,93,Tech Stack Match,8,0
A-100907,67,Tech Stack Match,7,0
A-100908,79,Experience Match,5,0
A-100910,62,Tech Stack Match,5,0
A-100911,82,Communication,9,0
A-100912,97,Tech Stack Match,10,0
A-100913,89,Experience Match,9,0
A-100914,91,Tech Stack Match,10,0
A-100915,63,Experience Match,4,0
A-100916,91,SQL Skills,10,0
A-100917,94,Experience Match,9,0
A-100919,32,SQL Skills,4,0
A-100921,55,Tech Stack Match,3,0
A-100922,89,Experience Match,6,0
A-100923,45,Experience Match,2,0
A-100924,93,SQL Skills,10,0
A-100927,81,Experience Match,6,0
A-100929,55,Communication,5,0
A-100930,86,Tech Stack Match,9,0
A-100932,43,Communication,5,0
A-100933,91,SQL Skills,10,0
A-100934,93,Experience Match,8,0
A-100935,64,Experience Match,8,0
A-100936,62,SQL Skills,6,0
A-100937,62,Tech Stack Match,7,0
